# text = kunuk Mušezib-Ninurta iššakku mār Ninurta-eriš MIN ma mār Samanuha-šar-ilani MIN ma
1	kunuk	kunuk	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	_	_	_	_
2	Mušezib-Ninurta	Mušezib-Ninurta	PROPN	PROPN	Gender=M	1	nmod_poss	_	_
3	iššakku	iššakku	NOUN	NOUN	Case=Nom|Number=Sg|Gender=M|Noun_base=free	2	appos	_	_
4	mār	mār	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	2	appos	_	_
5	Ninurta-eriš	Ninurta-eriš	PROPN	PROPN	Gender=M	4	nmod_poss	_	_
6	MIN	MIN	NOUN	NOUN	Case=Nom|Noun_base=free|Number=Sg|Gender=M	5	appos	_	_
7	ma	ma	PART	PART	_	6	det	_	_
8	mār	mār	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	5	appos	_	_
9	Samanuha-šar-ilani	Samanuha-šar-ilani	PROPN	PROPN	Gender=M	8	nmod_poss	_	_
10	MIN	MIN	NOUN	NOUN	Case=Nom|Noun_base=free|Number=Sg|Gender=M	9	appos	_	_
11	ma	ma	PART	PART	_	10	det	_	_

