# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004581-1
# text = Aššur-naṣir-apli šakin Enlil iššak Aššur mār Tukulti-Ninurta šakin Enlil iššak Aššur mār Adad-nerari šakin Enlil iššak Aššur
1	Aššur-naṣir-apli	_	_	PROPN	Gender=M	0	root	0:root	_
2	šakin	_	_	NOUN	Number=Sg|Gender=M|Nounbase=Bound	1	appos	_	_
3	Enlil	_	_	PROPN	Gender=M	2	nmod:poss	_	_
4	iššak	_	_	NOUN	Number=Sg|Gender=M|Nounbase=Bound	1	appos	_	_
5	Aššur	_	_	PROPN	Gender=M	4	nmod:poss	_	_
6	mār	_	_	NOUN	Number=Sg|Gender=M|Nounbase=Bound	1	appos	_	_
7	Tukulti-Ninurta	_	_	PROPN	Gender=M	6	nmod:poss	_	_
8	šakin	_	_	NOUN	Number=Sg|Gender=M|Nounbase=Bound	7	appos	_	_
9	Enlil	_	_	PROPN	Gender=M	8	nmod:poss	_	_
10	iššak	_	_	NOUN	Number=Sg|Gender=M|Nounbase=Bound	7	appos	_	_
11	Aššur	_	_	PROPN	Gender=M	10	nmod:poss	_	_
12	mār	_	_	NOUN	Number=Sg|Gender=M|Nounbase=Bound	7	appos	_	_
13	Adad-nerari	_	_	PROPN	Gender=M	12	nmod:poss	_	_
14	šakin	_	_	NOUN	Number=Sg|Gender=M|Nounbase=Bound	13	appos	_	_
15	Enlil	_	_	PROPN	Gender=M	14	nmod:poss	_	_
16	iššak	_	_	NOUN	Number=Sg|Gender=M|Nounbase=Bound	13	appos	_	_
17	Aššur	_	_	PROPN	Gender=M	16	nmod:poss	_	_

