# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004570-1
# text = Aššur-naṣir-apli šar kiššati šar māt Aššur mār Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššurma
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}AŠ-PAP-A
2	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	MAN
3	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	2	nmod:poss	2:nmod:poss	ŠU₂
4	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	MAN
5	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	4	nmod:poss	4:nmod:poss	KUR
6	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	5	nmod:poss	5:nmod:poss	AŠ
7	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	A
8	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Case=Undefined|Gender=M	7	nmod:poss	7:nmod:poss	{m}TUKUL-MAŠ
9	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	8	appos	8:appos	MAN
10	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	9	nmod:poss	9:nmod:poss	ŠU₂
11	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	8	appos	8:appos	MAN
12	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	11	nmod:poss	11:nmod:poss	KUR
13	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	12	nmod:poss	12:nmod:poss	AŠ
14	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	8	appos	8:appos	A
15	Adad-nerari	Adad-narari_II	PROPN	RN	Case=Undefined|Gender=M	14	nmod:poss	14:nmod:poss	{m}10-ERIM.TAH₂
16	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	15	appos	15:appos	MAN
17	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	16	nmod:poss	16:nmod:poss	ŠU₂
18	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	15	appos	15:appos	MAN
19	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	18	nmod:poss	18:nmod:poss	KUR
20-21	Aššurma	_	_	_	_	_	_	_	_
20	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	19	nmod:poss	19:nmod:poss	AŠ-ma
21	ma	_	PART	_	_	20	det	20:det	_

