# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006017-1
# text = ēkalli Aššur-dan šarru dannu šar kiššati šar māt Aššur mār Tukulti-apil-Ešarra šarru dannu šar kiššati šar māt Aššur mār Aššur-reša-iši šarru dannu šar kiššati šar māt Aššur mār Aššur-rabi šarru dannu šar kiššati šar māt Aššurma
1	ēkalli	ēkallu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	E₂.GAL-li₃
2	Aššur-dan	Aššur-dan_II	PROPN	RN	Case=Undefined|Gender=M	1	nmod:poss	1:nmod:poss	{m}aš-šur-KAL-an
3	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	2	appos	2:appos	MAN
4	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	3	amod	3:amod	dan-nu
5	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	MAN
6	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	5	nmod:poss	5:nmod:poss	KIŠ
7	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	MAN
8	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	7	nmod:poss	7:nmod:poss	KUR
9	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	8	nmod:poss	8:nmod:poss	aš-šur
10	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	DUMU
11	Tukulti-apil-Ešarra	Tukulti-apil-Ešarra_II	PROPN	RN	Case=Undefined|Gender=M	10	nmod:poss	10:nmod:poss	{GIŠ}tukul-ti-IBILA-e₂-šar₂-ra
12	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	11	appos	11:appos	MAN
13	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	12	amod	12:amod	dan-nu
14	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	11	appos	11:appos	MAN
15	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	14	nmod:poss	14:nmod:poss	KIŠ
16	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	11	appos	11:appos	MAN
17	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	16	nmod:poss	16:nmod:poss	KUR
18	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	17	nmod:poss	17:nmod:poss	aš-šur
19	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	11	appos	11:appos	DUMU
20	Aššur-reša-iši	Aššur-reša-iši_II	PROPN	RN	Case=Undefined|Gender=M	19	nmod:poss	19:nmod:poss	aš-šur-SAG-i-ši
21	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	20	appos	20:appos	MAN
22	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	21	amod	21:amod	dan-nu
23	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	20	appos	20:appos	MAN
24	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	23	nmod:poss	23:nmod:poss	KIŠ
25	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	20	appos	20:appos	MAN
26	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	25	nmod:poss	25:nmod:poss	KUR
27	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	26	nmod:poss	26:nmod:poss	aš-šur
28	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	20	appos	20:appos	DUMU
29	Aššur-rabi	Aššur-rabi_II	PROPN	RN	Case=Undefined|Gender=M	28	nmod:poss	28:nmod:poss	aš-šur-GAL
30	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	29	appos	29:appos	MAN
31	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	30	amod	30:amod	dan-nu
32	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	29	appos	29:appos	MAN
33	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	32	nmod:poss	32:nmod:poss	KIŠ
34	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	29	appos	29:appos	MAN
35	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	34	nmod:poss	34:nmod:poss	KUR
36-37	Aššurma	_	_	_	_	_	_	_	_
36	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	35	nmod:poss	35:nmod:poss	aš-šur-ma
37	ma	_	PART	_	_	36	det	36:det	_

