# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006034-1
# text = Marduk apkal ilāni bēl têrēte Ninurta qarrād Igigi u Anunnaki Nergal gitmālu šar tamhāri Nusku nāš haṭṭi elleti ilu multālu Ninlil hīrti Enlil ummi ilāni rabûti Ištar rēštīti šamê erṣeti ša paraṣ qardūte šuklulat
1	Marduk	Marduk	PROPN	DN	Gender=M	0	root	0:root	{d}AMAR.UTU
2	apkal	apkallu	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	ABGAL
3	ilāni	ilu	NOUN	N	Gender=M|Number=Pl	2	nmod:poss	_	DINGIR.MEŠ
4	bēl	bēlu	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	EN
5	têrēte	têrtu	NOUN	N	Gender=F|Nounbase=Free|Number=Pl	4	nmod:poss	_	te-re-te
6	Ninurta	Ninurta	PROPN	DN	Gender=M	1	conj	_	{d}nin-urta
7	qarrād	qarrādu	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	6	appos	_	qar-rad
8	Igigi	Igigu	PROPN	DN	Number=Pl	7	nmod:poss	_	NUN.GAL.MEŠ
9	u	u	CCONJ	CNJ	_	10	cc	_	u₃
10	Anunnaki	Anunnaku	PROPN	DN	Number=Pl	8	conj	_	{d}a-nun-na-ki
11	Nergal	Nergal	PROPN	DN	Gender=M	1	conj	_	{d}U.GUR
12	gitmālu	gitmālu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	11	amod	_	git₂-ma-lu
13	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	11	appos	_	MAN
14	tamhāri	tamhāru	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	13	nmod:poss	_	tam-ha-ri
15	Nusku	Nusku	PROPN	DN	Gender=M	1	conj	_	{d}nusku
16	nāš	nāšû	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	15	appos	_	na-a-aš₂
17	haṭṭi	haṭṭu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	16	nmod:poss	_	{GIŠ}GIDRU
18	elleti	ellu	ADJ	AJ	Case=Gen|Gender=F|Number=Sg	17	amod	_	KU₃-ti
19	ilu	ilu	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	15	appos	_	_
20	multālu	muštālu	ADJ	N	Case=Nom|Gender=M|Number=Sg	19	amod	_	mul-ta-lu
21	Ninlil	Ninlil	PROPN	DN	Gender=F	1	conj	_	{d}NIN.LIL₂
22	hīrti	hīrtu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	21	appos	_	hi-ir-ti
23	Enlil	Enlil	PROPN	DN	Gender=M	22	nmod:poss	_	{d}BAD
24	ummi	ummu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	21	appos	_	um-mi
25	ilāni	ilu	NOUN	N	Gender=M|Number=Pl	24	nmod:poss	_	DINGIR.MEŠ
26	rabûti	rabû	ADJ	AJ	Gender=M|Number=Pl	25	amod	_	GAL.MEŠ
27	Ištar	Ištar	PROPN	DN	Gender=F	1	conj	_	{d}INANNA
28	rēštīti	rēštû	NOUN	AJ	Gender=F|Nounbase=Bound|Number=Sg	27	appos	_	_
29	šamê	šamû	NOUN	N	Gender=M|Number=Pl	28	nmod:poss	_	AN-e
30	erṣeti	erṣetu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	28	nmod:poss	_	KI-ti
31	ša	ša	PRON	DET	_	34	nsubj	_	ša₂
32	paraṣ	parṣu	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	34	obl	_	pa-ra-aṣ
33	qardūte	qardu	NOUN	AJ	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	32	nmod:poss	_	qar-du-te
34	šuklulat	šuklulu	VERB	AJ	Finiteness=Stative|Gender=F|Number=Sg|Person=3|Verbstem=S	27	acl:relcl	_	šuk-lu-lat

# sent_id = Q006034-2
# text = ilāni rabûte gāmerūt purussî mušimmū šīmāti
1	ilāni	ilu	NOUN	N	Gender=M|Number=Pl	0	root	0:root	DINGIR.MEŠ
2	rabûte	rabû	ADJ	AJ	Gender=M|Number=Pl	1	amod	_	GAL.MEŠ-te
3	gāmerūt	gāmiru	NOUN	AJ	Gender=M|Nounbase=Bound|Number=Pl	1	appos	_	ga-me-ru-ut
4	purussî	purussû	NOUN	N	Gender=M|Number=Pl	3	nmod:poss	_	EŠ.BAR-i
5	mušimmū	mušimmu	NOUN	N	Gender=M|Nounbase=Bound|Number=Pl	1	appos	_	mu-šim-mu
6	šīmāti	šīmtu	NOUN	N	Gender=F|Nounbase=Free|Number=Pl	5	nmod:poss	_	{d}NAM.MEŠ

# sent_id = Q006034-3
# text = x x x ta šu Ninurta rubā naʾda
1	x	_	_	u	_	_	_	_	x
2	x	_	_	u	_	_	_	_	x
3	x	_	_	u	_	_	_	_	x
4	ta	_	_	u	_	_	_	_	ta
5	šu	šû	_	N	_	_	_	_	šu
6	Ninurta	Ninurta	PROPN	DN	Gender=M	_	_	_	{d}nin-urta
7	rubā	rubû	NOUN	N	Case=Acc|Gender=M|Nounbase=Free|Number=Sg	0	root	0:root	NUN-a
8	naʾda	naʾdu	ADJ	AJ	Case=Acc|Gender=M|Number=Sg	7	amod	_	na-a-da

# sent_id = Q006034-4
# text = x ša ina šassūr ummi kīniš x nabnītī ana nabnīt bēlē uštennû
1	x	_	_	u	_	_	_	_	x
2	ša	ša	PRON	REL	_	7	nsubj	_	ša
3	ina	ina	ADP	PRP	_	4	case	_	ina
4	šassūr	šassūru	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	7	obl	_	ŠA₃.TUR₃
5	ummi	ummu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	4	nmod:poss	_	um-mi
6	kīniš	kīniš	ADV	AV	_	7	advmod	_	ki-ni-iš
7	x	_	VERB	u	_	0	root	0:root	x
8-9	nabnītī	_	_	_	_	_	_	_	_
8	nabnīt	_	NOUN	_	Gender=F|Nounbase=Suffixal|Number=Sg	13	obj	_	_
9	ī	_	PRON	_	Number=Sg|Person=1	8	det	_	_
